City,MiLB Team(s),AAA,AA,A,State,City Population Estimate,Metropolitan Area,Metropolitan Population Estimate,Median Household Income (City),NFL Team(s),MLB Team(s),NBA Team(s),NHL Team(s),NFL Count,MLB Count,NBA Count,NHL Count,MLS Count,MLS team(s),total_Pro_league
Scottsdale,0,0.0,0.0,0.0,Arizona,236844.0,"Phoenix-Mesa-Chandler, AZ",4948203.0,88213.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Kenner,0,0.0,0.0,0.0,Louisiana,67106.0,"New Orleans-Metairie, LA",1270530.0,50000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Allen,0,0.0,0.0,0.0,Pennsylvania,120207.0,"Allentown-Bethlehem-Easton, PA-NJ",844052.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Gulfport,0,0.0,0.0,0.0,Mississippi,71872.0,"Gulfport-Biloxi, MS",418963.0,45000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Centreville,0,0.0,0.0,0.0,Virginia,71782.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6385162.0,110000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Macon,0,0.0,0.0,0.0,Georgia,153459.0,"Macon-Bibb County, GA",153671.0,41334.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Kennewick,0,0.0,0.0,0.0,Washington,78903.0,"Kennewick-Richland, WA",303501.0,75000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Edinburg,0,0.0,0.0,0.0,Texas,84501.0,"McAllen-Edinburg-Mission, TX",870781.0,45000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Brandon,0,0.0,0.0,0.0,Florida,113968.0,"Tampa-St. Petersburg-Clearwater, FL",3175275.0,65000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Marysville,0,0.0,0.0,0.0,Washington,66773.0,"Seattle-Tacoma-Bellevue, WA",4018598.0,90000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Danbury,0,0.0,0.0,0.0,Connecticut,84662.0,"Bridgeport-Stamford-Norwalk, CT",943332.0,75000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Jersey City,0,0.0,0.0,0.0,New Jersey,264277.0,"New York-Newark-Jersey City, NY-NJ-PA",19768458.0,70000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Rio Rancho,0,0.0,0.0,0.0,New Mexico,94155.0,"Albuquerque, NM",918018.0,70000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Enterprise,0,0.0,0.0,0.0,Nevada,135474.0,"Las Vegas-Henderson-Paradise, NV",2292476.0,65000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Pittsburg,0,0.0,0.0,0.0,California,69427.0,"San Francisco-Oakland-Berkeley, CA",4749008.0,80000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
New Bedford,0,0.0,0.0,0.0,Massachusetts,94959.0,"Providence-Warwick, RI-MA",1622520.0,54604.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Carlsbad,0,0.0,0.0,0.0,California,113466.0,"San Diego-Chula Vista-Carlsbad, CA",3338330.0,134139.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Deerfield Beach,0,0.0,0.0,0.0,Florida,79769.0,"Miami-Fort Lauderdale-Pompano Beach, FL",6166488.0,51690.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Sterling Heights,0,0.0,0.0,0.0,Michigan,132062.0,"Detroit-Warren-Dearborn, MI",4392041.0,65832.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Kansas City,0,0.0,0.0,0.0,Kansas,151261.0,"Kansas City, MO-KS",2192035.0,45665.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Manteca,0,0.0,0.0,0.0,California,75450.0,"Stockton, CA",762148.0,81907.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Surprise,0,0.0,0.0,0.0,Arizona,128442.0,"Phoenix-Mesa-Chandler, AZ",4948203.0,72962.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Florence-Graham,0,0.0,0.0,0.0,California,66359.0,"Los Angeles-Long Beach-Anaheim, CA",13200998.0,37543.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Newport News,0,0.0,0.0,0.0,Virginia,182385.0,"Virginia Beach-Norfolk-Newport News, VA-NC",1799674.0,51590.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
North Richland Hills,0,0.0,0.0,0.0,Texas,69205.0,"Dallas-Fort Worth-Arlington, TX",7637387.0,71076.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Temecula,0,0.0,0.0,0.0,California,112026.0,"Riverside-San Bernardino-Ontario, CA",4650631.0,96183.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Independence,0,0.0,0.0,0.0,Missouri,117255.0,"Kansas City, MO-KS",2192035.0,50210.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Baton Rouge,0,0.0,0.0,0.0,Louisiana,228596.0,"Baton Rouge, LA",873661.0,67979.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Meridian,0,0.0,0.0,0.0,Idaho,90753.0,"Boise City, ID",795268.0,75515.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Murfreesboro,0,0.0,0.0,0.0,Tennessee,126121.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",2118233.0,70000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Citrus Heights,0,0.0,0.0,0.0,California,87053.0,"Sacramento-Roseville-Folsom, CA",2397382.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
McKinney,0,0.0,0.0,0.0,Texas,162887.0,"Dallas-Fort Worth-Arlington, TX",7637387.0,100000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Atlanta,0,0.0,0.0,0.0,Georgia,463875.0,"Atlanta-Sandy Springs-Alpharetta, GA",6144050.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,Atlanta United FC,1.0
Johnson City,0,0.0,0.0,0.0,Tennessee,65369.0,"Johnson City, TN",200000.0,45000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bridgeport,0,0.0,0.0,0.0,Connecticut,147619.0,"Bridgeport-Stamford-Norwalk, CT",943332.0,45000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tracy,0,0.0,0.0,0.0,California,87093.0,"Stockton, CA",762148.0,100000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Clifton,0,0.0,0.0,0.0,New Jersey,86341.0,"New York-Newark-Jersey City, NY-NJ-PA",19768458.0,75000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Orem,0,0.0,0.0,0.0,Utah,94457.0,"Provo-Orem, UT",648252.0,64000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Fort Lauderdale,0,0.0,0.0,0.0,Florida,178587.0,"Miami-Fort Lauderdale-Pompano Beach, FL",6166488.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
